STATE,name,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
01,Autauga,Alabama,58805,58877,59095
01,Baldwin,Alabama,231767,233140,239294
01,Barbour,Alabama,25223,25180,24964
01,Bibb,Alabama,22293,22223,22477
01,Blount,Alabama,59134,59081,59041
01,Bullock,Alabama,10357,10309,10320
01,Butler,Alabama,19051,19045,18884
01,Calhoun,Alabama,116441,116266,115972
01,Chambers,Alabama,34772,34678,34541
01,Cherokee,Alabama,24971,24958,24996
01,Chilton,Alabama,45014,45024,45274
01,Choctaw,Alabama,12665,12619,12533
01,Clarke,Alabama,23087,22995,22760
01,Clay,Alabama,14236,14193,14190
01,Cleburne,Alabama,15056,15035,15103
01,Coffee,Alabama,53465,53565,54174
01,Colbert,Alabama,57227,57236,57474
01,Conecuh,Alabama,11597,11552,11328
01,Coosa,Alabama,10387,10383,10450
01,Covington,Alabama,37570,37469,37524
01,Crenshaw,Alabama,13194,13157,13083
01,Cullman,Alabama,87866,88044,89496
01,Dale,Alabama,49326,49214,49342
01,Dallas,Alabama,38462,38190,37619
01,DeKalb,Alabama,71608,71630,71813
01,Elmore,Alabama,87977,88116,89304
01,Escambia,Alabama,36757,36665,36699
01,Etowah,Alabama,103436,103393,103162
01,Fayette,Alabama,16321,16307,16148
01,Franklin,Alabama,32113,32063,32013
01,Geneva,Alabama,26659,26675,26701
01,Greene,Alabama,7730,7704,7629
01,Hale,Alabama,14785,14792,14754
01,Henry,Alabama,17146,17167,17459
01,Houston,Alabama,107202,107190,107458
01,Jackson,Alabama,52579,52519,52773
01,Jefferson,Alabama,674721,673341,667820
01,Lamar,Alabama,13972,13943,13689
01,Lauderdale,Alabama,93564,93610,94043
01,Lawrence,Alabama,33073,33063,33090
01,Lee,Alabama,174241,174601,177218
01,Limestone,Alabama,103570,104322,107517
01,Lowndes,Alabama,10311,10297,9965
01,Macon,Alabama,19532,19476,18895
01,Madison,Alabama,388153,389696,395211
01,Marengo,Alabama,19323,19264,18996
01,Marion,Alabama,29341,29287,29246
01,Marshall,Alabama,97612,97608,98228
01,Mobile,Alabama,414809,414250,413073
01,Monroe,Alabama,19772,19723,19648
01,Montgomery,Alabama,228954,228448,227434
01,Morgan,Alabama,123421,123336,123668
01,Perry,Alabama,8511,8452,8355
01,Pickens,Alabama,19123,19062,18801
01,Pike,Alabama,33009,32981,32991
01,Randolph,Alabama,21967,21971,21989
01,Russell,Alabama,59183,59226,58722
01,St. Clair,Alabama,91103,91333,92748
01,Shelby,Alabama,223024,223708,226902
01,Sumter,Alabama,12345,12295,12164
01,Talladega,Alabama,82149,82069,81524
01,Tallapoosa,Alabama,41311,41229,41023
01,Tuscaloosa,Alabama,227036,227153,227007
01,Walker,Alabama,65342,65100,64818
01,Washington,Alabama,15388,15296,15147
01,Wilcox,Alabama,10600,10518,10446
01,Winston,Alabama,23540,23491,23652
02,Aleutians East Borough,Alaska,3420,3418,3398
02,Aleutians West Census Area,Alaska,5232,5206,5059
02,Anchorage Municipality,Alaska,291247,290637,288121
02,Bethel Census Area,Alaska,18666,18648,18557
02,Bristol Bay Borough,Alaska,844,831,838
02,Chugach Census Area,Alaska,7102,7073,6941
02,Copper River Census Area,Alaska,2617,2616,2630
02,Denali Borough,Alaska,1619,1611,1593
02,Dillingham Census Area,Alaska,4857,4839,4772
02,Fairbanks North Star Borough,Alaska,95655,95286,95593
02,Haines Borough,Alaska,2080,2085,2071
02,Hoonah-Angoon Census Area,Alaska,2365,2361,2332
02,Juneau City and Borough,Alaska,32255,32195,31973
02,Kenai Peninsula Borough,Alaska,58799,58893,59767
02,Ketchikan Gateway Borough,Alaska,13948,13902,13754
02,Kodiak Island Borough,Alaska,13101,13023,12787
02,Kusilvak Census Area,Alaska,8368,8357,8360
02,Lake and Peninsula Borough,Alaska,1476,1454,1416
02,Matanuska-Susitna Borough,Alaska,107081,107460,110686
02,Nome Census Area,Alaska,10046,10032,9865
02,North Slope Borough,Alaska,11031,10993,10972
02,Northwest Arctic Borough,Alaska,7793,7784,7560
02,Petersburg Borough,Alaska,3398,3401,3356
02,Prince of Wales-Hyder Census Area,Alaska,5753,5725,5729
02,Sitka City and Borough,Alaska,8458,8428,8407
02,Skagway Municipality,Alaska,1240,1239,1132
02,Southeast Fairbanks Census Area,Alaska,6808,6831,6970
02,Wrangell City and Borough,Alaska,2127,2130,2055
02,Yakutat City and Borough,Alaska,662,683,704
02,Yukon-Koyukuk Census Area,Alaska,5343,5300,5275
04,Apache,Arizona,66021,65897,65623
04,Cochise,Arizona,125447,125398,126050
04,Coconino,Arizona,145101,145116,145052
04,Gila,Arizona,53272,53306,53589
04,Graham,Arizona,38533,38614,39050
04,Greenlee,Arizona,9563,9522,9404
04,La Paz,Arizona,16557,16580,16408
04,Maricopa,Arizona,4420568,4438342,4496588
04,Mohave,Arizona,213267,214070,217692
04,Navajo,Arizona,106717,106802,108147
04,Pima,Arizona,1043433,1045599,1052030
04,Pinal,Arizona,425264,429583,449557
04,Santa Cruz,Arizona,47669,47653,47883
04,Yavapai,Arizona,236209,237067,242253
04,Yuma,Arizona,203881,204437,206990
05,Arkansas,Arkansas,17149,17105,16722
05,Ashley,Arkansas,19062,18960,18674
05,Baxter,Arkansas,41627,41655,42144
05,Benton,Arkansas,284333,286353,293692
05,Boone,Arkansas,37373,37352,37830
05,Bradley,Arkansas,10545,10498,10408
05,Calhoun,Arkansas,4739,4725,4741
05,Carroll,Arkansas,28260,28202,28435
05,Chicot,Arkansas,10208,10143,10019
05,Clark,Arkansas,21446,21362,21321
05,Clay,Arkansas,14552,14508,14350
05,Cleburne,Arkansas,24711,24665,25015
05,Cleveland,Arkansas,7550,7544,7514
05,Columbia,Arkansas,22801,22741,22672
05,Conway,Arkansas,20715,20729,20873
05,Craighead,Arkansas,111231,111576,112218
05,Crawford,Arkansas,60133,60107,60378
05,Crittenden,Arkansas,48163,48067,47525
05,Cross,Arkansas,16833,16762,16681
05,Dallas,Arkansas,6482,6445,6308
05,Desha,Arkansas,11395,11330,11090
05,Drew,Arkansas,17350,17309,17110
05,Faulkner,Arkansas,123498,123666,125106
05,Franklin,Arkansas,17097,17122,17173
05,Fulton,Arkansas,12075,12033,12145
05,Garland,Arkansas,100180,100162,100330
05,Grant,Arkansas,17958,17975,18090
05,Greene,Arkansas,45736,45818,46317
05,Hempstead,Arkansas,20065,19993,19694
05,Hot Spring,Arkansas,33040,33034,33148
05,Howard,Arkansas,12785,12755,12698
05,Independence,Arkansas,37938,37892,37723
05,Izard,Arkansas,13577,13576,13911
05,Jackson,Arkansas,16755,16737,16811
05,Jefferson,Arkansas,67260,66811,65861
05,Johnson,Arkansas,25749,25692,25845
05,Lafayette,Arkansas,6308,6294,6163
05,Lawrence,Arkansas,16216,16196,16292
05,Lee,Arkansas,8600,8529,8619
05,Lincoln,Arkansas,12941,12879,13037
05,Little River,Arkansas,12026,11971,11944
05,Logan,Arkansas,21131,21097,21215
05,Lonoke,Arkansas,74015,74042,74722
05,Madison,Arkansas,16521,16551,16960
05,Marion,Arkansas,16826,16862,16978
05,Miller,Arkansas,42600,42570,42649
05,Mississippi,Arkansas,40685,40503,39661
05,Monroe,Arkansas,6799,6765,6683
05,Montgomery,Arkansas,8484,8459,8611
05,Nevada,Arkansas,8310,8284,8187
05,Newton,Arkansas,7225,7198,7204
05,Ouachita,Arkansas,22650,22592,22306
05,Perry,Arkansas,10019,9997,9964
05,Phillips,Arkansas,16568,16445,15906
05,Pike,Arkansas,10171,10165,10066
05,Poinsett,Arkansas,22965,22893,22660
05,Polk,Arkansas,19221,19182,19353
05,Pope,Arkansas,63381,63346,63789
05,Prairie,Arkansas,8282,8248,8135
05,Pulaski,Arkansas,399125,399073,397821
05,Randolph,Arkansas,18571,18581,18865
05,St. Francis,Arkansas,23090,23046,22739
05,Saline,Arkansas,123416,123681,125233
05,Scott,Arkansas,9836,9811,9822
05,Searcy,Arkansas,7828,7827,7880
05,Sebastian,Arkansas,127799,127739,128400
05,Sevier,Arkansas,15839,15778,15783
05,Sharp,Arkansas,17271,17282,17622
05,Stone,Arkansas,12359,12364,12481
05,Union,Arkansas,39054,38925,38340
05,Van Buren,Arkansas,15796,15765,15694
05,Washington,Arkansas,245871,246662,250057
05,White,Arkansas,76822,76810,77207
05,Woodruff,Arkansas,6269,6200,6116
05,Yell,Arkansas,20263,20216,20155
06,Alameda,California,1682353,1679844,1648556
06,Alpine,California,1204,1198,1235
06,Amador,California,40474,40541,41259
06,Butte,California,211632,210083,208309
06,Calaveras,California,45292,45327,46221
06,Colusa,California,21839,21853,21917
06,Contra Costa,California,1165927,1165562,1161413
06,Del Norte,California,27743,27709,28100
06,El Dorado,California,191185,191114,193221
06,Fresno,California,1008654,1008966,1013581
06,Glenn,California,28917,28893,28805
06,Humboldt,California,136463,136351,136310
06,Imperial,California,179702,179489,179851
06,Inyo,California,19016,19023,18970
06,Kern,California,909235,909997,917673
06,Kings,California,152486,152627,153443
06,Lake,California,68163,68174,68766
06,Lassen,California,32730,32719,33159
06,Los Angeles,California,10014009,9989165,9829544
06,Madera,California,156255,156620,159410
06,Marin,California,262321,261776,260206
06,Mariposa,California,17131,17124,17147
06,Mendocino,California,91601,91354,91305
06,Merced,California,281202,281726,286461
06,Modoc,California,8700,8658,8661
06,Mono,California,13195,13206,13247
06,Monterey,California,439035,438500,437325
06,Napa,California,138019,137608,136207
06,Nevada,California,102241,102199,103487
06,Orange,California,3186989,3184101,3167809
06,Placer,California,404739,405741,412300
06,Plumas,California,19790,19769,19915
06,Riverside,California,2418185,2422764,2458395
06,Sacramento,California,1585055,1586241,1588921
06,San Benito,California,64209,64507,66677
06,San Bernardino,California,2181654,2182740,2194710
06,San Diego,California,3298634,3297252,3286069
06,San Francisco,California,873965,870014,815201
06,San Joaquin,California,779233,780517,789410
06,San Luis Obispo,California,282424,282231,283159
06,San Mateo,California,764442,762453,737888
06,Santa Barbara,California,448229,448096,446475
06,Santa Clara,California,1936259,1930598,1885508
06,Santa Cruz,California,270861,270353,267792
06,Shasta,California,182155,181893,182139
06,Sierra,California,3236,3228,3283
06,Siskiyou,California,44076,43962,44118
06,Solano,California,453491,453274,451716
06,Sonoma,California,488863,488345,485887
06,Stanislaus,California,552878,552710,552999
06,Sutter,California,99633,99480,99063
06,Tehama,California,65829,65615,65498
06,Trinity,California,16112,16088,16060
