STATE,name,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
06,Tulare,California,473117,473736,477054
06,Tuolumne,California,55620,55516,55810
06,Ventura,California,843843,842921,839784
06,Yolo,California,216403,216255,216986
06,Yuba,California,81575,81932,83421
08,Adams,Colorado,519572,520163,522140
08,Alamosa,Colorado,16376,16362,16547
08,Arapahoe,Colorado,655070,655112,654900
08,Archuleta,Colorado,13359,13424,13790
08,Baca,Colorado,3506,3486,3514
08,Bent,Colorado,5650,5635,5759
08,Boulder,Colorado,330758,330811,329543
08,Broomfield,Colorado,74112,74513,75325
08,Chaffee,Colorado,19476,19571,20074
08,Cheyenne,Colorado,1748,1736,1707
08,Clear Creek,Colorado,9397,9404,9446
08,Conejos,Colorado,7461,7464,7612
08,Costilla,Colorado,3499,3506,3625
08,Crowley,Colorado,5922,5893,6012
08,Custer,Colorado,4704,4712,5045
08,Delta,Colorado,31196,31232,31661
08,Denver,Colorado,715522,717630,711463
08,Dolores,Colorado,2326,2338,2397
08,Douglas,Colorado,357978,360102,368990
08,Eagle,Colorado,55731,55665,55727
08,Elbert,Colorado,26062,26206,27128
08,El Paso,Colorado,730395,731847,737867
08,Fremont,Colorado,48939,48981,49661
08,Garfield,Colorado,61685,61776,62161
08,Gilpin,Colorado,5808,5810,5873
08,Grand,Colorado,15717,15733,15860
08,Gunnison,Colorado,16918,16945,17281
08,Hinsdale,Colorado,788,794,781
08,Huerfano,Colorado,6820,6810,6920
08,Jackson,Colorado,1379,1376,1363
08,Jefferson,Colorado,582910,582928,579581
08,Kiowa,Colorado,1446,1452,1452
08,Kit Carson,Colorado,7087,7064,6950
08,Lake,Colorado,7436,7409,7407
08,La Plata,Colorado,55638,55642,56250
08,Larimer,Colorado,359066,359686,362533
08,Las Animas,Colorado,14555,14564,14633
08,Lincoln,Colorado,5675,5669,5688
08,Logan,Colorado,21528,21495,21487
08,Mesa,Colorado,155703,155939,157335
08,Mineral,Colorado,865,867,924
08,Moffat,Colorado,13292,13267,13185
08,Montezuma,Colorado,25849,25858,26175
08,Montrose,Colorado,42679,42798,43168
08,Morgan,Colorado,29111,29065,29008
08,Otero,Colorado,18690,18667,18594
08,Ouray,Colorado,4874,4869,5035
08,Park,Colorado,17390,17421,17720
08,Phillips,Colorado,4530,4534,4512
08,Pitkin,Colorado,17358,17342,17348
08,Prowers,Colorado,11999,11986,11996
08,Pueblo,Colorado,168162,168467,169622
08,Rio Blanco,Colorado,6529,6518,6476
08,Rio Grande,Colorado,11539,11538,11408
08,Routt,Colorado,24829,24839,25091
08,Saguache,Colorado,6368,6383,6471
08,San Juan,Colorado,705,710,733
08,San Miguel,Colorado,8072,8055,8074
08,Sedgwick,Colorado,2404,2390,2336
08,Summit,Colorado,31055,30971,30941
08,Teller,Colorado,24710,24726,24926
08,Washington,Colorado,4817,4815,4861
08,Weld,Colorado,328981,331358,340036
08,Yuma,Colorado,9988,9979,9941
09,Fairfield,Connecticut,957419,955895,959768
09,Hartford,Connecticut,899498,897932,896854
09,Litchfield,Connecticut,185186,184874,185000
09,Middlesex,Connecticut,164245,163923,164759
09,New Haven,Connecticut,864835,863498,863700
09,New London,Connecticut,268555,268248,268805
09,Tolland,Connecticut,149788,149650,150293
09,Windham,Connecticut,116418,116240,116418
10,Kent,Delaware,181851,182256,184149
10,New Castle,Delaware,570719,570718,571708
10,Sussex,Delaware,237378,238912,247527
11,District of Columbia,District of Columbia,689545,690093,670050
12,Alachua,Florida,278468,278684,279238
12,Baker,Florida,28259,28309,28715
12,Bay,Florida,175216,174461,179168
12,Bradford,Florida,28303,28364,28540
12,Brevard,Florida,606612,608007,616628
12,Broward,Florida,1944375,1941516,1930983
12,Calhoun,Florida,13648,13615,13641
12,Charlotte,Florida,186847,187960,194843
12,Citrus,Florida,153843,154403,158083
12,Clay,Florida,218245,218797,222361
12,Collier,Florida,375752,377079,385980
12,Columbia,Florida,69698,69889,70385
12,DeSoto,Florida,33976,34080,34408
12,Dixie,Florida,16759,16805,17102
12,Duval,Florida,995567,996373,999935
12,Escambia,Florida,321905,322424,322390
12,Flagler,Florida,115378,115968,120932
12,Franklin,Florida,12451,12456,12572
12,Gadsden,Florida,43826,43701,43714
12,Gilchrist,Florida,17864,17928,18360
12,Glades,Florida,12126,12179,12234
12,Gulf,Florida,14192,14181,14363
12,Hamilton,Florida,14004,13988,13993
12,Hardee,Florida,25327,25313,25425
12,Hendry,Florida,39619,39707,40313
12,Hernando,Florida,194515,195508,200638
12,Highlands,Florida,101235,101222,103296
12,Hillsborough,Florida,1459762,1463380,1478194
12,Holmes,Florida,19653,19622,19784
12,Indian River,Florida,159788,160345,163662
12,Jackson,Florida,47319,47214,47694
12,Jefferson,Florida,14510,14560,14555
12,Lafayette,Florida,8226,8252,8382
12,Lake,Florida,383956,385875,395804
12,Lee,Florida,760822,764679,787976
12,Leon,Florida,292198,292378,292817
12,Levy,Florida,42915,43051,44158
12,Liberty,Florida,7974,7974,7900
12,Madison,Florida,17968,17976,18288
12,Manatee,Florida,399710,401443,412703
12,Marion,Florida,375908,377370,385915
12,Martin,Florida,158431,158529,159942
12,Miami-Dade,Florida,2701767,2692459,2662777
12,Monroe,Florida,82874,82809,82170
12,Nassau,Florida,90352,90993,94189
12,Okaloosa,Florida,211668,211809,213255
12,Okeechobee,Florida,39644,39641,40266
12,Orange,Florida,1429908,1429899,1422746
12,Osceola,Florida,388656,390855,403282
12,Palm Beach,Florida,1492191,1492466,1497987
12,Pasco,Florida,561891,565745,584067
12,Pinellas,Florida,959107,958752,956615
12,Polk,Florida,725046,729233,753520
12,Putnam,Florida,73321,73347,74167
12,St. Johns,Florida,273425,276916,292466
12,St. Lucie,Florida,329226,331275,343579
12,Santa Rosa,Florida,188000,189133,193998
12,Sarasota,Florida,434006,435664,447057
12,Seminole,Florida,470856,471058,470093
12,Sumter,Florida,129752,130897,135638
12,Suwannee,Florida,43474,43510,44485
12,Taylor,Florida,21796,21760,21815
12,Union,Florida,16147,16126,16335
12,Volusia,Florida,553543,554901,564412
12,Wakulla,Florida,33764,33907,34690
12,Walton,Florida,75305,75855,80069
12,Washington,Florida,25318,25357,25436
13,Appling,Georgia,18444,18428,18488
13,Atkinson,Georgia,8286,8301,8391
13,Bacon,Georgia,11140,11123,11079
13,Baker,Georgia,2876,2844,2819
13,Baldwin,Georgia,43799,43773,43781
13,Banks,Georgia,18035,18069,18562
13,Barrow,Georgia,83505,83963,86658
13,Bartow,Georgia,108901,109311,110843
13,Ben Hill,Georgia,17194,17153,17158
13,Berrien,Georgia,18160,18159,18147
13,Bibb,Georgia,157346,157104,156762
13,Bleckley,Georgia,12583,12577,12607
13,Brantley,Georgia,18021,18040,18101
13,Brooks,Georgia,16301,16232,16270
13,Bryan,Georgia,44738,44999,46938
13,Bulloch,Georgia,81099,81378,82442
13,Burke,Georgia,24596,24621,24310
13,Butts,Georgia,25434,25542,25781
13,Calhoun,Georgia,5573,5560,5509
13,Camden,Georgia,54768,54911,55664
13,Candler,Georgia,10981,11001,11037
13,Carroll,Georgia,119148,119463,121968
13,Catoosa,Georgia,67872,67976,68397
13,Charlton,Georgia,12518,12530,12766
13,Chatham,Georgia,295291,294904,296329
13,Chattahoochee,Georgia,9565,9482,9048
13,Chattooga,Georgia,24965,24921,24932
13,Cherokee,Georgia,266620,268043,274615
13,Clarke,Georgia,128671,128489,128711
13,Clay,Georgia,2848,2835,2882
13,Clayton,Georgia,297595,297417,297100
13,Clinch,Georgia,6749,6723,6725
13,Cobb,Georgia,766149,766209,766802
13,Coffee,Georgia,43092,43047,43386
13,Colquitt,Georgia,45898,45866,45812
13,Columbia,Georgia,156010,156773,159639
13,Cook,Georgia,17229,17232,17225
13,Coweta,Georgia,146158,146653,149956
13,Crawford,Georgia,12130,12100,12153
13,Crisp,Georgia,20128,20042,19879
13,Dade,Georgia,16251,16224,16326
13,Dawson,Georgia,26798,27047,28497
13,Decatur,Georgia,29367,29338,29038
13,DeKalb,Georgia,764382,763831,757718
13,Dodge,Georgia,19925,19849,19759
13,Dooly,Georgia,11208,11142,10885
13,Dougherty,Georgia,85790,85366,84844
13,Douglas,Georgia,144237,144497,145814
13,Early,Georgia,10854,10813,10619
13,Echols,Georgia,3697,3696,3699
13,Effingham,Georgia,64769,65150,66741
13,Elbert,Georgia,19637,19627,19579
13,Emanuel,Georgia,22768,22730,22716
13,Evans,Georgia,10774,10757,10672
13,Fannin,Georgia,25319,25396,25817
13,Fayette,Georgia,119194,119441,120574
13,Floyd,Georgia,98584,98593,98771
13,Forsyth,Georgia,251283,252786,260206
13,Franklin,Georgia,23424,23429,23785
13,Fulton,Georgia,1066710,1069023,1065334
13,Gilmer,Georgia,31353,31429,32026
13,Glascock,Georgia,2884,2883,2919
13,Glynn,Georgia,84499,84470,84739
13,Gordon,Georgia,57544,57696,58237
13,Grady,Georgia,26236,26221,25918
13,Greene,Georgia,18915,19025,19536
13,Gwinnett,Georgia,957062,957801,964546
13,Habersham,Georgia,46031,46105,46774
13,Hall,Georgia,203136,203589,207369
13,Hancock,Georgia,8735,8722,8630
13,Haralson,Georgia,29919,29985,30572
13,Harris,Georgia,34668,34927,35626
13,Hart,Georgia,25828,25866,26409
13,Heard,Georgia,11412,11465,11565
13,Henry,Georgia,240712,241818,245235
13,Houston,Georgia,163633,164242,166829
13,Irwin,Georgia,9666,9643,9618
13,Jackson,Georgia,75907,76712,80286
13,Jasper,Georgia,14588,14638,15278
13,Jeff Davis,Georgia,14779,14777,14872
13,Jefferson,Georgia,15709,15658,15524
13,Jenkins,Georgia,8674,8662,8639
13,Johnson,Georgia,9189,9168,9160
13,Jones,Georgia,28347,28356,28400
13,Lamar,Georgia,18500,18550,19080
13,Lanier,Georgia,9877,9916,9907
13,Laurens,Georgia,49570,49497,49547
13,Lee,Georgia,33163,33179,33411
13,Liberty,Georgia,65256,65220,65711
13,Lincoln,Georgia,7690,7704,7749
13,Long,Georgia,16168,16287,17152
13,Lowndes,Georgia,118251,118316,119276
13,Lumpkin,Georgia,33488,33596,34278
13,McDuffie,Georgia,21632,21587,21633
13,McIntosh,Georgia,10975,10982,11123
13,Macon,Georgia,12082,12021,12004
13,Madison,Georgia,30120,30263,30885
13,Marion,Georgia,7498,7520,7440
13,Meriwether,Georgia,20613,20619,20793
13,Miller,Georgia,6000,5987,5919
13,Mitchell,Georgia,21755,21677,21521
13,Monroe,Georgia,27957,28046,28712
13,Montgomery,Georgia,8610,8577,8653
13,Morgan,Georgia,20097,20174,20635
13,Murray,Georgia,39973,39938,39951
13,Muscogee,Georgia,206922,206960,205617
13,Newton,Georgia,112483,112780,115355
13,Oconee,Georgia,41799,42021,43023
13,Oglethorpe,Georgia,14825,14865,15140
13,Paulding,Georgia,168661,169660,173780
13,Peach,Georgia,27981,28035,28417
13,Pickens,Georgia,33216,33333,34024
13,Pierce,Georgia,19716,19722,19976
13,Pike,Georgia,18889,18935,19477
13,Polk,Georgia,42853,42925,43496
13,Pulaski,Georgia,9855,9863,9917
13,Putnam,Georgia,22047,22140,22585
13,Quitman,Georgia,2235,2224,2243
13,Rabun,Georgia,16883,16894,17119
13,Randolph,Georgia,6425,6377,6287
13,Richmond,Georgia,206607,206328,205673
13,Rockdale,Georgia,93570,93614,94082
13,Schley,Georgia,4547,4538,4478
13,Screven,Georgia,14067,14060,14105
13,Seminole,Georgia,9147,9138,9197
13,Spalding,Georgia,67306,67413,67909
13,Stephens,Georgia,26784,26800,26865
13,Stewart,Georgia,5314,5295,5341
13,Sumter,Georgia,29616,29553,29283
13,Talbot,Georgia,5733,5731,5742
13,Taliaferro,Georgia,1559,1557,1558
13,Tattnall,Georgia,22842,22852,23052
13,Taylor,Georgia,7816,7814,7799
13,Telfair,Georgia,12477,12461,12414
13,Terrell,Georgia,9185,9153,8964
13,Thomas,Georgia,45798,45766,45842
13,Tift,Georgia,41344,41348,41212
13,Toombs,Georgia,27030,27052,26911
13,Towns,Georgia,12493,12539,12875
13,Treutlen,Georgia,6406,6390,6306
13,Troup,Georgia,69426,69388,69720
13,Turner,Georgia,9006,8971,8966
13,Twiggs,Georgia,8022,7986,7856
13,Union,Georgia,24632,24766,25521
13,Upson,Georgia,27700,27712,27720
13,Walker,Georgia,67654,67711,68510
13,Walton,Georgia,96673,97135,99853
13,Ware,Georgia,36251,36218,36033
13,Warren,Georgia,5215,5205,5240
13,Washington,Georgia,19988,19927,19785
13,Wayne,Georgia,30144,30155,30380
13,Webster,Georgia,2348,2350,2367
13,Wheeler,Georgia,7471,7430,7471
13,White,Georgia,28003,28090,28442
13,Whitfield,Georgia,102864,102727,102848
13,Wilcox,Georgia,8766,8731,8739
13,Wilkes,Georgia,9565,9556,9513
13,Wilkinson,Georgia,8877,8844,8831
13,Worth,Georgia,20784,20719,20554
15,Hawaii,Hawaii,200629,200746,202906
15,Honolulu,Hawaii,1016508,1013227,1000890
15,Kalawao,Hawaii,82,82,82
15,Kauai,Hawaii,73298,73201,73454
15,Maui,Hawaii,164754,164655,164221
16,Ada,Idaho,494967,497984,511931
16,Adams,Idaho,4379,4424,4625
16,Bannock,Idaho,87018,87177,88263
16,Bear Lake,Idaho,6372,6370,6545
16,Benewah,Idaho,9530,9576,9931
16,Bingham,Idaho,47992,48068,48876
16,Blaine,Idaho,24272,24327,24766
16,Boise,Idaho,7610,7647,8094
16,Bonner,Idaho,47110,47390,49491
16,Bonneville,Idaho,123964,124626,127930
16,Boundary,Idaho,12056,12113,12561
16,Butte,Idaho,2574,2577,2654
16,Camas,Idaho,1077,1089,1139
16,Canyon,Idaho,231105,232714,243115
16,Caribou,Idaho,7027,7015,7111
16,Cassia,Idaho,24655,24699,25164
16,Clark,Idaho,790,792,792
16,Clearwater,Idaho,8734,8750,8895
16,Custer,Idaho,4275,4266,4428
16,Elmore,Idaho,28666,28668,28827
16,Franklin,Idaho,14194,14269,14666
16,Fremont,Idaho,13388,13404,13592
16,Gem,Idaho,19123,19258,19792
16,Gooding,Idaho,15598,15643,15772
16,Idaho,Idaho,16541,16561,17040
16,Jefferson,Idaho,30891,31055,32202
16,Jerome,Idaho,24237,24222,24662
16,Kootenai,Idaho,171362,172646,179789
16,Latah,Idaho,39517,39611,40313
16,Lemhi,Idaho,7974,7948,8162
16,Lewis,Idaho,3533,3531,3715
16,Lincoln,Idaho,5127,5133,5282
16,Madison,Idaho,52913,52876,53881
16,Minidoka,Idaho,21613,21674,21955
16,Nez Perce,Idaho,42090,42088,42454
16,Oneida,Idaho,4564,4554,4611
16,Owyhee,Idaho,11913,11978,12336
16,Payette,Idaho,25386,25589,26350
16,Power,Idaho,7878,7879,7950
16,Shoshone,Idaho,13169,13189,13612
16,Teton,Idaho,11630,11731,12267
16,Twin Falls,Idaho,90046,90279,92243
16,Valley,Idaho,11746,11838,12241
16,Washington,Idaho,10500,10544,10898
17,Adams,Illinois,65737,65530,64954
17,Alexander,Illinois,5240,5168,5030
17,Bond,Illinois,16725,16663,16596
17,Boone,Illinois,53448,53326,53159
17,Brown,Illinois,6244,6217,6421
17,Bureau,Illinois,33244,33118,32883
17,Calhoun,Illinois,4437,4411,4369
17,Carroll,Illinois,15702,15664,15698
17,Cass,Illinois,13042,12956,12773
17,Champaign,Illinois,205865,205469,205943
17,Christian,Illinois,34032,33900,33662
17,Clark,Illinois,15455,15407,15300
17,Clay,Illinois,13288,13267,13143
17,Clinton,Illinois,36899,36896,36793
17,Coles,Illinois,46863,46737,46765
17,Cook,Illinois,5275541,5262741,5173146
17,Crawford,Illinois,18679,18639,18659
17,Cumberland,Illinois,10450,10428,10345
17,DeKalb,Illinois,100420,100233,100414
17,De Witt,Illinois,15516,15441,15341
17,Douglas,Illinois,19740,19742,19722
17,DuPage,Illinois,932877,931153,924885
17,Edgar,Illinois,16866,16755,16520
17,Edwards,Illinois,6245,6205,6075
17,Effingham,Illinois,34668,34614,34430
17,Fayette,Illinois,21488,21460,21384
17,Ford,Illinois,13534,13533,13511
17,Franklin,Illinois,37804,37636,37442
17,Fulton,Illinois,33609,33440,33197
17,Gallatin,Illinois,4946,4947,4903
17,Greene,Illinois,11985,11915,11843
17,Grundy,Illinois,52533,52514,52989
17,Hamilton,Illinois,7993,7977,7911
17,Hancock,Illinois,17620,17552,17400
17,Hardin,Illinois,3649,3634,3650
17,Henderson,Illinois,6387,6339,6312
17,Henry,Illinois,49284,49138,48907
17,Iroquois,Illinois,27077,26984,26827
17,Jackson,Illinois,52974,52896,52565
17,Jasper,Illinois,9287,9247,9193
17,Jefferson,Illinois,37113,37029,36877
17,Jersey,Illinois,21512,21444,21333
17,Jo Daviess,Illinois,22035,22035,21939
17,Johnson,Illinois,13308,13307,13463
17,Kane,Illinois,516522,516155,515588
17,Kankakee,Illinois,107502,107236,106601
17,Kendall,Illinois,131869,132291,134867
17,Knox,Illinois,49967,49736,49268
17,Lake,Illinois,714342,713217,711239
17,LaSalle,Illinois,109658,109359,108965
17,Lawrence,Illinois,15280,15234,15152
17,Lee,Illinois,34145,34021,34049
17,Livingston,Illinois,35815,35752,35664
17,Logan,Illinois,27987,27879,27992
17,McDonough,Illinois,27238,27079,26828
17,McHenry,Illinois,310229,309770,311122
17,McLean,Illinois,170954,170870,170889
17,Macon,Illinois,103998,103647,102432
17,Macoupin,Illinois,44967,44810,44406
17,Madison,Illinois,265859,265498,264490
17,Marion,Illinois,37729,37613,37390
